Id,Title,Category,Location_Address,Location_City,Location_Venue,Event_Start,Full_Address,Latitude,Longitude
1,Kursus Musik Tradisional untuk Pencinta Kebudayaan Lokal,Musik,Jl. Sisingamangaraja No. 328 Medan,Medan,Grand Antares,27-Apr-24,"Jl. Sisingamangaraja No. 328 Medan, Medan, Indonesia","3,5570479","98,6942632"
2,Workshop Pagelaran Wayang Kulit & Gelar Budaya,Edukasi,"Jl. Hang Tuah No.7, Talang Semut, Kec. Bukit Kecil",Palembang,ENAMDUA Coffee and Eatery,27-Apr-24,"Jl. Hang Tuah No.7, Talang Semut, Kec. Bukit Kecil, Palembang, Indonesia","-2,9926911","104,7470899"
3,Musik Tradisional untuk Pencinta Kebudayaan Lokal,Musik,Jalan Srijaya Negara,Palembang,UKM Seni Polsri,12-Dec-23,"Jalan Srijaya Negara, Palembang, Indonesia","-2,9901266","104,7290761"
4,Komik digital : cara seru baca sejarah dan budaya,Edukasi,jalan pangeran ario kesuma nomor 204,Palembang,mindset cafe,10-Dec-23,"jalan pangeran ario kesuma nomor 204, palembang, Indonesia","-2,9915529","104,7542304"
5,Membangun negeri yang berbudaya & berdedikasi,Bisnis,jalan bungur 15,Pekalongan,one sixteen,04-Dec-23,"jalan bungur 15, pekalongan, Indonesia","-6,8898362","109,6745916"
6,Kursus Budaya dan Etika dalam Perjalanan,Wisata,Jl. Puri No.12 Medan,Medan,Residence Puri,26-Oct-23,"Jl. Puri No.12 Medan, Medan, Indonesia","3,5777866","98,6885832"
7,Pendidikan agama & kebudayaan di milenial.,Edukasi,"Jl. Wolter Monginsidi No.33, Tj. Karang",Lampung,Liep's Cafe,20-Oct-23,"Jl. Wolter Monginsidi No.33, Tj. Karang, Lampung, Indonesia","-5,4235104","105,2516757"
8,Sukma tradisi dalam seni budaya masa kini,Edukasi,"Jl. Merdeka No.10B, Sumerta Kelod, Kec. Denpasar ",Bali,The Alleyway Cafe,27-Sep-23,"Jl. Merdeka No.10B, Sumerta Kelod, Kec. Denpasar , Bali, Indonesia","-8,6647208","115,2393394"
9,Workshop membership sejarah vespa.,Lainnya,"Jl. Rw. Belong No.2, RT.7/RW.15, Palmerah, Kec. Palmerah",Jakarta,COTECA cafe ,30-Dec-24,"Jl. Rw. Belong No.2, RT.7/RW.15, Palmerah, Kec. Palmerah, jakarta, Indonesia","-6,2044818","106,7831687"
10,Workshop BMX Competition (Membership),Olahraga,"Jl. Lengkong Besar No.97, Paledang, Kec. Lengkong",Bandung,Atmosphere Resort CafÃƒÂ©,25-Dec-24,"Jl. Lengkong Besar No.97, Paledang, Kec. Lengkong, Bandung, Indonesia","-6,9266922","107,6133707"
11,[Reguler-Swasta] Yakin Mau Jadi Guru?!,Edukasi,"Jl. DR. Soeparno No.60, Karangwangkal, Kec. Purwokerto Utara, Banyumas",Banyumas,Ruang B105 Fakultas Ilmu Budaya Unsoed,02-May-24,"Jl. DR. Soeparno No.60, Karangwangkal, Kec. Purwokerto Utara, Banyumas, Banyumas, Indonesia","-7,40245","109,2505375"
